id,status,news,chance_of_playing_this_round,chance_of_playing_next_round
632,a,,,
637,a,,,
638,a,,,
642,a,,,
645,a,,,
259,a,,,
267,a,,,
300,a,,,
301,a,,,
302,a,,,
303,a,,,
304,a,,,
305,a,,,
306,a,,,
307,u,Has joined Stoke City on loan for the rest of the season,,0
308,a,,,
309,a,,,
310,i,Muscular injury - Unknown return date,0,0
311,u,Has joined Leicester City permanently,0,0
312,i,Knee injury - Unknown return date,0,0
313,a,,,
314,u,Has joined Lincoln City on loan until January,,0
315,a,,,
316,a,,,100
317,u,Has joined Stoke City permanently,0,0
318,i,Ankle injury - Unknown return date,0,0
319,u,Has joined Derby County on loan for the rest of the season,0,0
320,a,,,
321,a,,,
322,u,Has joined Sheffield Wednesday on loan for the rest of the season,0,0
323,a,,,
324,a,,,
554,u,Has joined Valencia on loan for the rest of the season,0,0
562,a,,,
564,a,,,
571,a,,75,100
591,a,,100,100
592,a,,,
602,u,Has joined Huddersfield Town on loan for the rest of the season,,0
619,a,,,
640,a,,,
260,a,,,
326,u,Has joined Torino on loan for the rest of the season,,0
327,a,,,
329,i,Hamstring injury - Expected back 21 Nov,,0
330,a,,,
331,a,,75,100
332,a,,,
333,u,Has joined Hamburg SV on loan for the rest of the season,0,0
334,a,,,
335,a,,,
336,a,,,
337,a,,,
338,a,,,
339,a,,,
341,u,Has joined ACF Fiorentina on loan for the rest of the season,75,0
342,u,Has joined New England Revolution permanently,0,0
343,a,,,
344,d,Knee injury - 25% chance of playing,0,25
345,a,,,
346,a,,,
347,a,,,
348,u,Has joined West Ham United on loan for the rest of the season,0,0
349,i,Knee injury - Unknown return date,0,0
385,a,,,
598,a,,,
603,a,,,
604,a,,,
625,a,,,
629,a,,,
641,a,,,
648,a,,,
350,a,,,
351,a,,,
352,a,,,
353,u,Has joined TSV Hartberg on loan for the rest of the season,0,0
354,i,Knee injury - Unknown return date,0,0
355,a,,,
356,a,,,
357,a,,,
358,a,,,
359,i,Muscular injury - Unknown return date,0,0
360,i,Knee injury - Unknown return date,0,0
361,a,,,
362,a,,100,100
363,i,Knee injury - Unknown return date,0,0
364,a,,,
365,u,Has joined St Mirren on loan for the rest of the season,0,0
