name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Rúben dos Santos Gato Alves Dias,DEF,Man City,,a,,,,1.6,144,60,0,0,11,0,6,17.9,6,390,0.14,0.14,0.00,0.65,8,1,0,4.4,24.4,2026-08-23T13:00:00Z,90,False,3,0,0,0,8,0,1,0,148709,1,0,1,2,2.0,2,0,0,0,55,True,0
John McGinn,MID,Aston Villa,,a,,,,3.3,95,32,0,0,8,0,2,2.4,6,45,0.01,0.05,0.04,3.62,7,4,0,0.5,1.6,2026-08-23T13:00:00Z,81,False,5,0,0,0,3,0,1,0,290994,1,1,0,4,1.0,1,0,0,0,55,False,1
Jaydee Canvot,DEF,Crystal Palace,,a,,,,0.4,272,100,0,0,9,0,4,5.7,8,203,0.01,0.06,0.05,1.12,3,2,0,3.8,27.4,2026-08-22T14:00:00Z,90,False,9,0,0,0,3,0,1,0,30748,1,4,0,2,5.0,1,0,0,0,50,False,0
Tijjani Reijnders,MID,Man City,,u,Has joined Al Qadsiah permanently,,0,0.2,362,129,0,0,0,0,0,0.0,0,404,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,11692,0,0,1,2,0.0,0,0,0,0,60,True,0
Micky van de Ven,DEF,Spurs,,a,,,,7.2,58,23,0,0,0,0,0,0.0,0,503,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,522301,0,0,0,3,0.0,0,0,0,0,50,False,0
Joe Rodon,DEF,Leeds,,a,,,,3.1,101,39,0,0,21,1,6,14.4,7,329,0.06,0.09,0.03,0.66,6,0,0,3.4,14.4,2026-08-22T14:00:00Z,90,False,18,0,0,0,1,0,1,0,330772,1,1,1,0,5.0,6,0,0,0,45,False,0
Rodrigo 'Rodri' Hernandez Cascante,MID,Man City,,u,Has joined Barcelona permanently,,0,0.0,522,218,0,0,0,0,0,0.0,0,402,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,2341,0,0,1,2,0.0,0,0,0,0,65,True,0
Pascal Struijk,DEF,Brighton,,a,,,100,0.2,349,133,0,0,0,0,0,0.0,0,328,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,0,1,0,19933,0,0,0,4,0.0,0,0,0,0,50,True,0
Wilson Odobert,MID,Spurs,,i,Knee injury - Unknown return date,,0,0.0,598,262,0,0,0,0,0,0.0,0,517,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,0,1,0,100,0,0,0,3,0.0,0,0,0,0,55,False,0
Liam Delap,FWD,Chelsea,,a,,,,0.5,261,46,0,0,0,0,0,0.0,0,167,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,40156,0,0,3,2,0.0,0,0,0,0,55,False,0
Matty Jacob,DEF,Hull City,,d,Hip injury - 75% chance of playing,,75,0.0,555,188,0,0,0,0,0,0.0,0,283,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,16,0,0,0,0,0,1,0,1251,0,0,0,2,0.0,0,0,0,0,40,True,0
Antonín Kinský,GK,Spurs,,a,,,,23.4,12,2,0,0,15,0,4,0.0,0,496,0.00,0.00,0.00,3.87,2,3,0,4.4,43.6,2026-08-22T16:30:00Z,90,False,4,0,0,0,12,0,1,5,2208330,1,0,0,3,0.0,2,0,0,0,45,False,0
Calvin Ramsay,DEF,Liverpool,,a,,,,0.2,339,128,0,0,0,0,0,0.0,0,365,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,0,1,0,19328,0,0,2,2,0.0,0,0,0,0,40,False,0
Nathan Patterson,DEF,Everton,,a,,,,0.0,521,175,0,0,0,0,0,0.0,0,234,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,8,0,0,0,0,0,1,0,2948,0,0,0,2,0.0,0,0,0,0,45,True,0
Ben Wilson,GK,Coventry City,,a,,,,0.5,251,35,0,0,0,0,0,0.0,0,172,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,0,1,0,42690,0,0,0,3,0.0,0,0,0,0,45,False,0
Rio Cardines,DEF,Crystal Palace,,u,Has joined Bristol City on loan for the rest of the season,,0,0.0,591,197,0,0,0,0,0,0.0,0,220,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,255,0,0,0,2,0.0,0,0,0,0,45,False,0
Walter Benítez,GK,Crystal Palace,,a,,,,0.1,414,46,0,0,0,0,0,0.0,0,199,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,0,1,0,10987,0,0,0,2,0.0,0,0,0,0,45,False,0
João Pedro Junqueira de Jesus,FWD,Chelsea,,a,,,,63.4,2,2,1,2,45,0,1,23.0,3,165,0.06,0.69,0.63,1.33,10,2,1,11.1,51.2,2026-08-24T19:00:00Z,90,False,10,0,0,0,2,0,1,0,5764207,1,0,3,2,37.0,11,0,0,0,75,False,0
Lisandro Martínez,DEF,Man Utd,,a,,,100,1.2,177,68,0,0,0,0,0,0.0,0,419,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2026-08-22T11:30:00Z,0,False,11,0,0,0,0,0,1,0,115360,0,0,0,2,0.0,0,0,0,0,50,False,0
Vitor de Oliveira Nunes dos Reis,DEF,Man City,,a,,,,0.0,539,183,0,0,0,0,0,0.0,0,396,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,3,0,0,0,0,0,1,0,1856,0,0,1,2,0.0,0,0,0,0,45,True,0
Paddy McNair,DEF,Hull City,,a,,,,0.1,425,147,0,0,3,0,2,0.0,2,285,0.00,0.00,0.00,0.96,4,0,0,0.4,4.2,2026-08-22T11:30:00Z,26,False,16,0,0,0,1,0,1,0,8697,0,0,0,2,0.0,1,0,0,0,40,True,0
Taiwo Awoniyi,FWD,Coventry City,,a,,,,0.8,207,34,0,0,4,0,0,1.4,1,492,0.00,0.00,0.00,0.29,1,0,0,0.1,0.0,2026-08-21T19:00:00Z,20,False,1,0,0,0,1,0,1,0,76129,0,0,0,3,0.0,1,0,0,0,55,False,0
Đorđe Petrović,GK,Bournemouth,,a,,,,3.4,91,14,0,0,13,0,2,0.0,0,57,0.00,0.00,0.00,2.25,8,2,0,3.7,36.8,2026-08-23T13:00:00Z,90,False,15,0,0,0,5,0,1,4,288326,1,0,1,2,0.0,2,0,0,0,45,False,0
Marcus Rashford,MID,Man Utd,,a,,,,1.5,157,47,0,0,9,0,0,48.6,1,429,0.10,0.10,0.00,0.09,4,0,0,6.4,11.6,2026-08-22T11:30:00Z,45,False,11,0,0,0,1,0,1,0,134653,0,0,0,2,4.0,1,0,0,0,70,False,0
Ethan Nwaneri,MID,Arsenal,,a,,,,0.0,564,237,0,0,0,0,0,0.0,0,22,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,0,1,0,1260,0,0,0,3,0.0,0,0,0,0,55,True,0
Jarrad Branthwaite,DEF,Everton,,a,,,,1.7,141,59,0,0,27,1,6,0.8,8,230,0.01,0.01,0.00,1.96,3,0,0,2.5,18.6,2026-08-22T14:00:00Z,90,False,8,0,0,0,2,0,1,0,141420,1,2,0,2,6.0,6,0,0,0,55,True,0
Matt Grimes,MID,Coventry City,,a,,,,0.2,346,122,0,0,14,0,4,3.7,7,184,0.01,0.01,0.00,1.88,1,3,0,1.7,13.4,2026-08-21T19:00:00Z,90,False,1,0,0,0,3,0,1,0,17412,1,0,0,3,0.0,2,0,0,0,50,False,0
Senne Lammens,GK,Man Utd,,a,,,,17.2,24,5,0,0,7,0,2,0.0,0,412,0.00,0.00,0.00,1.01,4,2,0,2.0,20.2,2026-08-22T11:30:00Z,90,False,11,0,0,0,8,0,1,2,1497029,1,0,0,2,0.0,1,0,0,0,50,False,0
Nobel Mendy,DEF,Hull City,,a,,,,0.9,197,74,0,1,35,1,13,0.6,13,586,0.00,0.28,0.28,0.86,4,0,1,8.5,51.8,2026-08-22T11:30:00Z,63,False,16,0,0,0,2,0,1,0,92688,1,0,0,2,33.0,15,0,0,0,40,True,0
Wesley Fofana,DEF,Chelsea,,s,Suspended until 6 Sep,,0,0.0,570,192,0,0,0,0,0,0.0,0,145,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2026-08-24T19:00:00Z,0,False,10,0,0,0,0,0,1,0,1057,0,0,3,2,0.0,0,0,0,0,50,False,0
Frank Onyeka,MID,Coventry City,,a,,,,0.1,388,144,0,0,8,0,3,1.6,9,104,0.01,0.01,0.00,1.88,1,3,0,0.5,3.6,2026-08-21T19:00:00Z,90,False,1,0,0,0,5,0,1,0,13188,1,1,0,3,0.0,2,0,0,0,50,False,0
Christian Walton,GK,Ipswich Town,,a,,,,0.6,247,33,0,0,0,0,0,0.0,0,300,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,0,1,0,47085,0,0,1,2,0.0,0,0,0,0,45,True,0
