name,position,team,xP,status,news,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,selected_rank,selected_rank_type,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,clearances_blocks_interceptions,defensive_contribution,recoveries,tackles,GW
Noni Madueke,MID,Arsenal,,a,,,,0.3,290,96,0,0,8,0,43.1,16,0.04,0.04,0.00,0.15,1,0,0,5.3,9.4,2026-08-21T19:00:00Z,22,False,7,0,0,0,0,1,0,30442,0,0,3,0.0,1,0,0,0,65,True,0,0,2,2,0,1
Jahnoah Markelo,FWD,Coventry City,,u,Has joined Shabab Al-Ahli Dubai permanently,,0,0.0,527,70,0,0,0,0,0.0,196,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,1,0,0,0,0,1,0,1827,0,0,3,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Curtis Jones,MID,Liverpool,,d,Hip injury - 75% chance of playing,,75,0.1,459,186,0,0,0,0,0.0,373,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,1,0,4822,0,2,2,0.0,0,0,0,0,55,False,0,0,0,0,0,1
Matheus França de Oliveira,MID,Crystal Palace,,a,,,,0.0,504,211,0,0,0,0,0.0,217,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,9,0,0,0,0,1,0,3157,0,0,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Cristian Romero,DEF,Spurs,,u,Has joined Atletico Madrid permanently,,0,0.4,276,102,0,0,0,0,0.0,500,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,1,0,25814,0,0,3,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Johan Manzambi,MID,Aston Villa,,i,Knee injury - Unknown return date,,0,0.4,269,89,0,0,0,0,0.0,53,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,5,0,0,0,0,1,0,26624,0,0,4,0.0,0,0,0,0,60,False,0,0,0,0,0,1
Shea Charles,MID,Fulham,,a,,,,0.1,433,174,0,0,5,0,1.3,580,0.00,0.00,0.00,0.03,10,0,0,0.5,3.4,2026-08-24T19:00:00Z,23,False,6,0,0,0,0,1,0,8110,0,3,2,0.0,1,0,0,0,50,True,0,0,3,2,1,1
Viktor Gyökeres,FWD,Arsenal,,a,,,,9.7,42,8,0,0,0,0,0.0,25,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,False,7,0,0,0,0,1,0,816962,0,0,3,0.0,0,0,0,0,75,True,0,0,0,0,0,1
Jack Rudoni,MID,Coventry City,,a,,,100,0.1,403,158,0,0,3,0,3.8,183,0.00,0.15,0.15,0.29,1,0,0,2.6,5.6,2026-08-21T19:00:00Z,20,False,1,0,0,0,0,1,0,13002,0,0,3,17.0,1,0,0,0,50,False,0,0,5,4,1,1
Anthony Patterson,GK,Sunderland,,u,Has joined Wrexham permanently,,0,0.3,311,38,0,0,0,0,0.0,530,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,12,0,0,0,0,1,0,18557,0,1,2,0.0,0,0,0,0,40,False,0,0,0,0,0,1
Lukas Nmecha,FWD,Leeds,,a,,,,0.6,237,40,0,0,0,0,0.0,347,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,1,0,53564,0,1,0,0.0,0,0,0,0,55,False,0,0,0,0,0,1
Gabriel Gudmundsson,DEF,Leeds,,i,Hamstring injury - Unknown return date,,0,0.1,450,159,0,0,0,0,0.0,331,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,18,0,0,0,0,1,0,5099,0,1,0,0.0,0,0,0,0,45,False,0,0,0,0,0,1
Bryan Mbeumo,MID,Man Utd,,a,,,,36.5,6,3,0,0,12,0,28.1,427,0.23,0.73,0.50,1.01,4,2,0,8.7,9.6,2026-08-22T11:30:00Z,90,False,11,0,0,0,0,1,0,3492739,1,0,2,49.0,2,0,0,0,80,False,0,0,4,4,0,1
Conor Bradley,DEF,Liverpool,,i,Knee injury - Unknown return date,,0,0.0,571,193,0,0,0,0,0.0,360,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2026-08-23T15:30:00Z,0,False,17,0,0,0,0,1,0,957,0,2,2,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Eberechi Eze,MID,Arsenal,,a,,,,2.2,123,39,0,0,4,0,1.8,14,0.00,0.04,0.04,0.15,1,0,0,0.1,0.0,2026-08-21T19:00:00Z,14,False,7,0,0,0,0,1,0,188164,0,0,3,1.0,1,0,0,0,65,True,0,0,2,2,0,1
Emiliano Martínez Romero,GK,Aston Villa,,a,,,,4.5,75,11,0,0,0,0,0.0,28,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,5,0,0,0,0,1,0,388040,0,0,4,0.0,0,0,0,0,50,False,0,0,0,0,0,1
Facundo Buonanotte,MID,Brighton,,u,Has joined Elche on loan for the rest of the season,,0,0.0,582,249,0,0,0,0,0.0,128,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,2,0,0,0,0,1,0,528,0,0,4,0.0,0,0,0,0,50,True,0,0,0,0,0,1
Mats Wieffer,DEF,Brighton,,a,,,,0.3,314,117,0,1,32,1,26.3,130,0.05,0.14,0.09,0.29,7,0,0,4.9,16.6,2026-08-23T13:00:00Z,77,False,2,0,0,0,0,1,0,22925,1,0,4,6.0,7,0,0,0,50,True,0,4,8,5,4,1
Rodrigo Bentancur,MID,Spurs,,a,,,,0.2,351,124,0,0,8,0,14.7,516,0.01,0.01,0.00,2.18,2,1,0,1.7,2.0,2026-08-22T16:30:00Z,45,False,4,0,0,0,0,1,0,17403,0,0,3,0.0,1,0,0,0,55,False,0,0,5,2,3,1
Semi Ajayi,DEF,Hull City,,a,,,,0.9,195,72,0,2,39,1,0.2,279,0.00,0.52,0.52,0.86,4,0,1,7.9,44.2,2026-08-22T11:30:00Z,63,False,16,0,0,0,0,1,0,83256,1,0,2,35.0,14,0,0,0,40,True,0,7,7,3,0,1
Keane Lewis-Potter,MID,Brentford,,a,,,,0.4,263,84,0,2,37,1,15.9,86,0.12,0.89,0.77,0.57,2,0,1,8.2,47.2,2026-08-22T16:30:00Z,90,False,19,0,0,0,0,1,0,38558,1,0,3,19.0,10,0,0,0,55,True,0,4,10,5,1,1
Levi Samuels Colwill,DEF,Chelsea,,a,,,,1.6,147,61,0,0,6,0,1.6,149,0.03,0.04,0.01,1.33,10,2,0,1.5,6.0,2026-08-24T19:00:00Z,90,False,10,0,0,0,0,1,0,142918,1,3,2,7.0,0,0,0,0,50,False,1,2,4,3,2,1
Junior Kroupi,MID,Bournemouth,,i,Foot injury - Unknown return date,,0,0.7,214,70,0,0,0,0,0.0,78,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,False,15,0,0,0,0,1,0,42378,0,1,2,0.0,0,0,0,0,75,False,0,0,0,0,0,1
Cody Drameh,DEF,Hull City,,i,Hamstring injury - Expected back 29 Aug,,0,0.0,565,191,0,0,4,0,0.0,281,0.00,0.05,0.05,0.67,4,0,0,0.3,2.2,2026-08-22T11:30:00Z,20,False,16,0,0,0,0,1,0,1668,0,0,2,1.0,1,0,0,0,40,True,0,2,3,2,1,1
Andrew Robertson,DEF,Spurs,,a,,,,3.6,83,32,0,0,13,0,19.2,502,0.06,0.06,0.00,3.87,2,3,0,5.3,31.8,2026-08-22T16:30:00Z,90,False,4,0,0,0,0,1,0,350993,1,0,3,2.0,3,0,0,0,45,False,0,9,11,3,2,1
Cameron Humphreys,MID,Ipswich Town,0.0,,,,,,,,0,0,0,0,0.0,602,0.00,0.00,0.00,0.00,5,0,0,0.0,0.0,2026-08-22T14:00:00Z,0,False,20,0,0,0,0,1,0,0,0,1,2,0.0,0,0,0,0,45,True,0,0,0,0,0,1
Chuba Akpom,FWD,Ipswich Town,,a,,,,0.5,250,43,0,0,3,0,0.0,320,0.00,0.00,0.00,0.03,5,0,0,0.3,1.4,2026-08-22T14:00:00Z,24,False,20,0,0,0,0,1,0,47871,0,1,2,2.0,1,0,0,0,50,True,0,0,3,2,1,1
João Victor de Souza Menezes,DEF,Spurs,,a,,,,0.3,301,111,0,0,0,0,0.0,511,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,False,4,0,0,0,0,1,0,27254,0,0,3,0.0,0,0,0,0,40,False,0,0,0,0,0,1
Robert Lynch Sánchez,GK,Chelsea,,a,,,,2.3,119,19,0,0,6,0,0.0,140,0.01,0.01,0.00,1.33,10,2,0,2.1,21.4,2026-08-24T19:00:00Z,90,False,10,0,0,0,0,1,4,207899,1,3,2,0.0,2,0,0,0,50,False,0,1,0,5,0,1
Reece James,DEF,Chelsea,,a,,,,9.4,45,17,0,0,5,0,16.8,142,0.07,0.17,0.10,1.33,10,2,0,5.9,23.4,2026-08-24T19:00:00Z,90,False,10,0,0,0,0,1,0,879361,1,3,2,19.0,0,0,0,0,55,False,1,6,6,4,0,1
Florian Wirtz,MID,Liverpool,,a,,,,13.2,32,10,0,0,16,0,17.9,366,0.04,0.30,0.26,0.51,9,2,0,5.7,9.8,2026-08-23T15:30:00Z,62,False,17,0,0,0,0,1,0,1122658,1,2,2,29.0,2,0,0,0,75,False,0,0,5,4,1,1
Caleb Yirenkyi,MID,Coventry City,,a,,,,0.3,323,110,0,0,2,0,3.1,575,0.00,0.00,0.00,1.56,1,3,0,0.0,0.0,2026-08-21T19:00:00Z,61,False,1,0,0,0,0,1,0,23536,1,0,3,0.0,1,0,0,0,50,False,1,0,3,3,0,1
Emersonn Correia da Silva,FWD,Ipswich Town,,a,,,,0.4,282,48,0,3,41,0,26.3,316,0.06,0.88,0.82,0.63,5,1,1,11.2,45.6,2026-08-22T14:00:00Z,65,False,20,0,0,0,0,1,0,33590,1,1,2,40.0,9,0,0,0,55,True,0,1,3,1,1,1
