id,selected_by_percent,selected_rank,selected_rank_type
799,0.0,777,334
801,0.0,763,325
806,0.0,756,87
807,1.4,166,58
27,0.1,496,177
83,2.2,133,44
101,12.7,28,4
102,0.3,353,49
103,0.1,443,64
104,0.1,472,69
105,0.8,223,29
106,2.7,117,47
107,1.5,161,63
108,0.2,369,135
109,0.1,445,167
110,1.2,185,71
111,0.1,444,166
112,0.0,721,250
113,1.3,178,69
114,0.2,393,147
115,0.1,540,191
116,0.3,306,113
117,0.1,530,189
118,0.0,612,218
120,1.7,153,52
121,0.8,219,76
122,0.0,658,260
123,0.1,470,163
124,0.3,325,111
125,0.1,477,166
126,0.1,451,153
127,0.0,727,301
128,0.0,610,233
129,0.1,481,169
130,0.1,478,167
131,0.1,435,148
132,0.0,687,276
