first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Sorba,Thomas,0,0,4,119,3,40.9,8.8,12.0,0,13,5.8,0,0,0,0.0,55,MID,0.7
Christos,Mouzakitis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Issa,Diop,0,0,12,450,11,24.2,121.6,9.0,0,45,15.5,0,0,0,12.9,40,DEF,3.0
Saša,Lukić,0,1,11,400,10,81.2,71.0,6.0,0,68,15.8,0,0,2,0.1,49,MID,2.2
Christian,Walton,0,0,2,90,1,0.0,12.0,0.0,0,10,1.2,0,0,0,0.4,44,GK,0.5
Alex,Palmer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.9,40,GK,0.0
David,Button,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40,GK,0.0
Cédric,Kipré,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,39,DEF,0.0
Dara,O'Shea,0,0,10,450,11,71.0,130.0,21.0,0,24,22.1,0,0,0,2.7,40,DEF,2.5
Leif,Davis,2,2,25,450,11,61.9,144.8,117.0,1,52,32.5,0,0,0,6.9,40,DEF,6.2
Jacob,Greaves,0,0,3,357,10,16.9,68.6,4.0,0,12,9.0,0,0,1,1.1,40,DEF,0.8
Ben,Johnson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Darnell,Furlong,0,0,1,17,1,0.5,5.0,0.0,0,-1,0.6,0,0,0,0.6,39,DEF,0.3
Marcelino,Núñez,0,0,6,140,4,19.4,24.6,6.0,0,32,5.0,0,0,0,0.1,49,MID,1.2
Azor,Matusiwa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Wes,Burns,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Jack,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID,0.0
Jack,Clarke,1,0,11,170,2,55.4,52.0,45.0,1,48,15.2,0,0,1,0.2,54,MID,2.0
Chiedozie,Ogbene,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Abdul,Fatawu,0,1,8,352,10,133.7,64.8,41.0,0,71,24.0,0,1,2,0.2,54,MID,1.5
Emersonn,Correia da Silva,2,1,26,317,6,50.4,98.8,104.0,6,110,25.3,0,0,0,3.5,55,FWD,4.7
George,Hirst,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD,0.0
Jaden,Philogene,0,0,2,52,1,4.6,4.8,13.0,0,11,2.2,0,0,0,0.1,54,MID,0.4
Sam,Szmodics,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Chuba,Akpom,1,0,7,78,4,2.5,34.6,24.0,0,36,6.1,0,0,0,1.2,50,FWD,1.4
Sindre,Walle Egeli,0,0,1,10,0,0.1,0.0,0.0,0,3,0.0,0,0,0,3.5,45,FWD,0.2
Ali,Al-Hamadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,FWD,0.0
Kasey,McAteer,0,0,3,42,0,1.8,4.6,7.0,0,12,1.4,0,0,0,1.0,44,MID,0.7
Anis,Mehmeti,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID,0.0
Kayne,van Oevelen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,GK,0.0
Daizen,Maeda,0,0,8,259,8,5.5,31.0,47.0,0,32,8.1,0,0,0,0.2,53,MID,1.5
Kjell,Scherpen,0,0,7,360,10,0.0,103.6,0.0,0,40,10.3,0,0,0,0.6,45,GK,1.6
Florentino Ibrain,Morris Luís,0,0,2,30,0,22.3,9.0,2.0,0,9,3.2,0,0,0,0.1,48,MID,0.4
Julio,Enciso,0,2,15,413,11,75.6,60.2,100.0,0,83,23.6,0,0,1,0.8,55,MID,2.7
Abdoul,Ouattara,0,0,6,131,2,36.2,31.6,9.0,0,29,7.6,0,0,0,0.9,40,DEF,1.5
Cameron,Humphreys,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Exequiel,Palacios,0,0,11,275,7,46.6,55.4,4.0,0,64,10.6,0,0,0,0.1,50,MID,2.2
Zian,Flemming,1,0,6,60,1,12.1,38.2,55.0,0,34,10.5,0,0,1,0.1,55,FWD,1.1
Harry,Wilson,0,0,5,145,1,52.4,19.2,12.0,0,19,8.5,1,0,1,1.8,62,MID,0.8
Lucas Estella,Perri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,GK,0.0
Jaka,Bijol,0,0,12,164,2,0.6,38.2,15.0,2,29,5.4,1,0,0,0.7,50,DEF,2.4
Joe,Rodon,0,0,7,123,0,14.7,23.0,7.0,0,25,4.5,1,0,0,0.8,43,DEF,1.6
Jayden,Bogle,2,0,42,365,1,34.6,108.8,119.0,6,122,26.2,4,0,2,6.8,46,DEF,9.1
Gabriel,Gudmundsson,0,0,14,252,1,29.5,38.6,8.0,0,62,7.7,2,0,0,0.1,45,DEF,3.1
